entry,text,tagger,policy
45,"I am trying to close a safe deposit box and saving account and the bank is completely unresponsive. We emptied the box on XXXX XXXX, but did not have both keys with us. We do not live in the same state as the safe desposit box. I mailed the keys to the bank on XXXX XXXX explaining that we wanted to close the safe deposit box, gave my cell phone number and my husband 's number. They did not respond. I contacted their online help system and exchanged emails. They were able to confirm that the keys were received, but that the box was still on my account. They gave me a number to call which was just a recording saying they would respond within XXXX hours. They did not respond.   ",xie188@purdue.edu,0
46,"On XXXX XXXX, I had a balance of {$110.00}. I had XXXX transactions for {$120.00}, {$17.00}, and {$5.00}. Instead of clearing the smaller items, Bank of America charged me for XXXX overdrafts, at {$35.00}. I know Bank of America uses an algorithm which sends the highest amount through XXXX, and then, instead of paying the smaller items, they charge {$35.00} each. On XXXX XXXX, I had XXXX deposits totaling {$1200.00}. I wonder when this small window of opportunity allowed the Bank to charge me {$100.00} for overdrafts, when I have a positive balance.   ",dai77@purdue.edu,0
53,"Re Fifth Third Bank of XXXX, XXXX ( and corporate office in Ohio XXXX XXXX of my XXXX credit reports falsely reported I had a credit card account at Fifth Third Bank ; I never had any account at that bank. XXXX of the credit reports deleted it after I disputed it ; the other one would not delete it.   When I tried to resolve this issue with the bank, I was shocked they told me yes, I am in their computer as I have had a credit card with them for three months. I asked them :  Do you issue credit cards from your bank to unemployed people? Because I was unemployed on such dates so how would I get a credit card from your bank? '' They said no, they do n't issue credit cards to unemployed people, so they will investigate. Then they sent me a letter and a package full of fraud.   The letter attached dated XXXX XXXX, XXXX falsely claims I had : a ) a credit card from XXXX XXXX to XXXX XXXX, and b ) a savings account those same dates ; and c ) falsely claims a checking account from XXXX XXXX to XXXX XXXX, originally opened at  XXXX XXXX XXXX XXXX XXXX '' later acquired by Fifth Third.   I have never even heard of that bank, and I do not keep my money in banks, but in credit unions. So all this information in their letter to me is false. The letter goes on to state :  the Bank does NOT have the signed application on file for the credit card account or the signature cards for the checking and savings account. '' Well, if you do n't have my signature on ANY of these accounts, and I am telling you I never had any of these accounts, then : you do not have any such accounts for me. ( But, XXXX credit reporting agency  accepts '' that nothing with my signature on file at a bank somehow evidences a credit card account, and so keeps reporting falsely I had a XXXX XXXX credit card. ) To my shock, the package this letter came in had a stack of documents allegedly from these non-existent accounts. According to these statements I have never seen before, I had a  XXXX XXXX '' account, a  Money Markey '' account, a  XXXX '' and a  XXXX '' account. I have never heard of any of these accounts.   XXXX of the pages sent to me were  Intentionally Left Blank. '' Other pages were bank rules. On the bogus statement pages it appears someone lifted some charges from a credit union credit card account I had, and then, added some new charges not actually relating to me at all. These bizarro charges include the following : 1 )  XXXX '' - Is someone claiming I filed an application to a university in XXXX? Because I do n't recall doing that.   2 )  XXXX '' - What is this? A {$100.00} charge for something international? What?   3 )  XXXX '' - What is this {$310.00} amount for this XXXX in XXXX, XXXX founded by XXXX? I do not know.   4 ) What are all these online transfers?   5 ) Where is  XXXX XXXX '' location as a Banking Center?   And more fraud. I have attached the letter and highlighted the above examples of bizarro charges.   The letter ends by saying I should now contact the Bank 's  Dispute Department. '' Why? I already told the Bank I never had any accounts with them. I already told them having my name in their computer is fraud as I never had any accounts with them. They already admitted they do not even have my signature on file for any of this fraud. And half the pages they sent to me in this package are  intentionally left blank. '' It seems to me like someone is trying hard to set me up to falsely accuse me of some type of crime, and these fake documents from Fifth Third Bank will somehow be used as evidence against me in a bogus criminal complaint alleging I do not know what.   My mother had several accounts at Fifth Third. I did not. My mom has often wondered what happened to {$20000.00} she was supposed to receive from a lawsuit settlement on XXXX XXXX as they claim it was deposited into : Fifth Third.   ",cthieme@purdue.edu,0
54,"I received a letter from XXXX with a debit card of {$50.00} representing a rebate because of prior repairs made to my XXXX Ford Taurus. The letter stated that if I did not want the debit card I could call XXXX to request a check of {$50.00} and cancel the debit card issued by the Bank of America. I paid for the Ford repairs in US legal tender and since I am entitled to a rebate I want my rebate in US legal tender and not in the form of a debit card issued by the Bank of America. I called in XXXX XXXX and cancelled the card and the customer representative from the Bank of America said that I would have the {$50.00} refund check in XXXX days. In the meantime the debit card was cancelled. I have not received the check and it has been 4 months and I have made numerous inquiries with the Bank of America and each time they say the check will be in the mail within 7-11 days. My XXXX communication was on XXXX XXXX, XXXX and the supervisor, whose XXXX name was XXXX promised that a check would be in the mail within 11 days. The check has not been received. I want my {$50.00} check in lieu of the debit card which was cancelled. I am tired of making telephone calls and being ignored. The number of the original debit card which was cancelled is XXXX expiration XXXX ccv XXXX XXXX XXXX   ",cthieme@purdue.edu,1
57,"I had a charge that was charged my card as an authorization by XXXX and when i stayed at hotel as told it would drop off and decided to pay in increments for hotel stay ( {$330.00}, {$160.00}, {$890.00} ) as i did n't know how long we would be staying for whole reservation as home was n't ready to move in so we changed our reservation. After checking out i noticed my XXXX XXXX credit card had a charge for the full amount of {$1300.00} and authorization never dropped off. When this happened i contacted bank of america and dispute these and filed a claim for these duplicate charges. XXXX out of the XXXX charges were credit back as permanent credit ( {$330.00}  {$160.00} ). The XXXX was still not credited back after going back and forth with bank trying to get this resolved. The bank made errors when resubmitting and caused delays and issues with claim which was their error. In XXXX i received claim response from merchant and then was allowed to submit rebuttal for claim which i did and faxed back to bank for all XXXX amounts. How can they process XXXX but not the XXXX correctly when there all a part of same amount. They stated it was past time frame. when clearly i responded immediately when they requested along with others they gave me credit back for so it was not past time frame. I then called back in XXXX to resubmit the {$890.00} for the XXXX time. I even specified there was a XXXX XXXX statement on file showing the charge was made on another card and was never refunded. I never received any notiice of result of claim or response since XXXX. I did however receive a response for the {$160.00} amount which they stated was a permanent credit. I called the bank on XXXX to check status again. and once again they submitted claim incorrectly, did n't notify me whatsoever of any result or update or phone call for that matter. My account got closed for the - {$500.00} amount that resulted from that charge when they reversed the temp credit prior to getting my rebuttal and proof of duplicate charge. They were notified, provided every document from me and makes no sense how XXXX transactions for the same thing same stay at hotel and same charge on my XXXX XXXX can be refunded for XXXX but not the XXXX when there all the same issue.   ",jdenhar@purdue.edu,0
62,"I went to cash in an original Certificate of Deposit from Premier/Chase bank which was issued in XX/XX/XXXX. I have received XXXX on the certificate through XXXX and none thereafter. I noticed that on XX/XX/XXXX XXXX, a zero was left off of the certificate number. Chase is claiming they have no record of my certificate and therefore are not responsible for returning my earnings even though I have the original and the back was never signed. It has been confirmed through unclaimed property that the funds were never turned over to the state, therefore Chase still holds my funds. The executive Dept. of Chase bank is claiming they are not required to keep my investment records past 7 years so I just lose my money even though the certificate states automatically renewable and has no expiration date. I am assuming my money is drawing interest all these years as this is the verbage directly on the document. I have been a customer with Chase for over 30 years and have always lived in the State of Louisiana. Contacting me was never an issue. My parents currently live at the address listed on the document. I have attached a detailed timeline along with scans of the certificate, which I hold the original, and XXXX forms. As you can notice on the timeline, this has been a very lengthy process, and I have exhausted every avenue possible with Chase in order to retrieve my investment funds. Chase is claiming that the funds were abandoned since there was no activity however the funds were never turned over to unclaimed property. I am certain that purchasing an investment cd is specifically designed not to be touched in order to achieve maximum benefits which is the reason there was no activity and it clearly states  automatically renewable ''. If indeed Chase did decide these funds were abandoned, what are the guidelines they must follow to turn the funds over as unclaimed and how many years are they required to keep records? Is Chase not responsible for giving me information as to what they have done with my funds I entrusted to them as an investment? Are they allowed to  lose '' someone 's money and not be held accountable?   ",ahbruns@purdue.edu,1
66,"My conflict with Bank of America ( BOA ) can be summarized as follows : BOA refuses to refund my account for an unauthorized transfer of {$1300.00} that occurred on XXXX XXXX, XX/XX/2015 despite BOA having actual notice of the unauthorized scheduled transfer on XXXX XXXX, XX/XX/XXXX prior to its occurrence and despite having reassured me that it would not occur at that time. I am pursuing a complete refund. Since the bank has little to no record of my communications, I bring this to your attention in the hopes of impacting legislation so as to improve bank documentation requirements in order to ensure that the right result occurs more timely, efficiently and frequently in conflicts between banks and consumers. Thank you for your assistance.   As a customer of BOA, I utilize online banking. On XXXX XXXXXX/XX/XXXX, I received a suspicious email from BOA informing me that a recurring transfer was scheduled to occur on XXXX XXXX, XX/XX/XXXX in the amount of {$1300.00}. I recognized the payee as my landlord in XX/XX/XXXX, whom I may have paid via electronic transfer but only a few times. I immediately notified the bank of the email. I spent at least two hours on this call. I was connected to the fraud department after XXXX transfers. They found no record of the transaction. They informed me that the email was not from the bank and to forward to XXXXXXXXXXXX, which I can substantiate. They assured me that the transaction would NOT be done and the money would NOT be withdrawn. More importantly, since it was not authorized by me, if the transaction would continue as indicated, I was assured that the money would promptly be returned to me. I asked them to appropriately note my file and send me written confirmation to that effect. As expected, they refused to send me anything in writing, and I later discovered there are NO notes on my file other than that I called on XXXX XXXX, XX/XX/XXXX. That is unacceptable documentation reflecting formal and actual notice of a material transaction.   On XXXX XXXX, XX/XX/XXXX, I received another email reminder that the recurring scheduled payment would be made XXXX XXXX, XX/XX/XXXX which is when I discovered the transaction had in fact been made on XXXX XXXX, XX/XX/XXXX. On XXXX XXXX, XX/XX/XXXX at XXXX EST, I immediately visited a BOA branch to contest the transaction that I was told would not occur. They called the same phone number to which I have access thus demonstrating the uselessness of visiting a branch and working with a banker. I was connected to the fraud department, and I went through the same process. Told that I 'd be contacted soon and have the money returned in 48 hours, no action was taken and no call received by the bank in 36 hours so I contacted the bank again. XXXX transfers later I was finally told that it was not fraud and they would not refund the money ; that it was my fault and I was out of the money.   I informed the representative that I WILL NOT be responsible for an unauthorized transfer because of a software mistake when the bank had actual notice of such prior to its occurrence. I demanded the representative connect me with someone who will help solve my problem. He finally connected me with online and electronic services. They informed me that this was  fraud but not fraud '' as the bank calls it. I said just call it a mistake by the bank. They said the money would be returned whereupon I was connected to someone who had no recollection of that. Repeated the story for the XXXX time and now, XXXX hours after visiting the branch, I have not had my money returned to me and have no reason to believe it will be returned to me in the foreseeable future. Like everyone else who has little time to waste, I have wasted many hours of my time pursuing this matter. I expect to waste more because of the bank 's disjointed and opaque organizational structure. As an attorney, I know my rights and I intend to pursue my rights to the fullest extent of the law.   ",zhan1565@purdue.edu,1
69,"I have had a checking account with Suntrust Bank since XX/XX/XXXX. I have a direct deposit go into my account monthly. I am a XXXX. I own XXXX rental properties. XXXX tenant pays rent with money orders, and the other pays with a personsl check from his Suntrust account. On XXXX XXXX, I deposited a {$750.00} money order given to me by XXXX tenant, and the next day I deposited the other tenants {$500.00} personal check. XXXX deposits showed up on my account ledger balance by XXXX/XXXX/XX/XX/XXXX. The tenant who gave me the Suntrust check for {$500.00} had stopped payment on XXXX, after I had already deposited for some reason. Suntrust then placed a hold on the {$750.00} money order until XXXX, telling me that they were unable to verify the money order. I had a copy of the money order and called XXXX XXXX and was told it had been paid on XXXX. I called Suntrust on XXXX and they would not release the hold, and then informed me that my account was being closed because of suspicious activity. I visited a Suntrust branch and was told it was the stop payment placed on the {$500.00} rent check my tenant gave me that prompted my account to be closed, but also was informed that his check was a good check regardless. I was blocked from online account access, and being a week before the XXXX tax deadline, this caused a big headache! I also pay bills online the XXXX ten days of the month, and payments were returned, late charges applied, and no valid reason for the paid money order to be held during this time by Suntrust. I was told repeatedly rhat I would receive a letter in the mail explaining why Suntrust closed my account. The letter came XXXX, it only stated my account was closed due to fraudelent activity, according to the bank 's rules and regulations. The decision is permanent and I would receive any remaining funds in my account by mail within 3 days. The letter was dated XXXX/XXXX/XX/XX/2015. No other information or apology is given. Suntrust put me in a financial crisis. Two weeks with no debit/atm card, no cash, bills not paid, creditors calling, not able to take action against tenant in a timely manner, Income taxes not finished, and no answer to why all this is happening.   ",jdenhar@purdue.edu,1
71,I get paid every other Friday. I checked my bank account on XXXX XXXX ( Thursday ) at about XXXX XXXX and my account was positive. I woke up on Friday after getting paid and I had {$210.00} overdraft fees. I called and spoke to customer service the next morning and explained the situation and XXXX from Regions told me that a check cleared on the XXXX. I explained to her that when I checked my account at XXXX XXXX that it was in the positive and why did I get so many OD fees? She could not give me a time that it cleared. I went the local Branch of Regions and spoke to the Branch manager and he said that he would have to send the situation to his regional manager and get back to me. I called back a couple days later and he said that a check cleared on the XXXX but he too could not give me a time when it cleared and said they could not give me any of the OD fees back. He said that they have a XXXX in a lifetime forgiveness policy and could not help me. I called channel XXXX news cause of his demeanor and the way XXXX treated me on the phone and XXXX from Channel XXXX gave me this link to contact to send a complaint.   ,ahbruns@purdue.edu,0
73,"Flagstar has misappropriated funds from mortgage customers through unauthorized  fax fees '' charged for payoff statements. They overreach their interpretation of permission waivers to quietly add a usurious fee for faxing payoff notices. XXXX attempts to resolve this dispute were unsuccessful. Customer 'service ' representatives were rude, condescending, and unreceptive to any sort of negotiated resolution.   ",agosnell@purdue.edu,0
74,"On XXXX XXXX, I had XXXX fraudgelent charges on my debit [ checking ] acount. XXXX  fell off '' XXXX remained, I filled out the form, that day. Iwas told 7 days it woud be returned XXXX XXXX charges remained. After 10 days the money was not returned, I was then told It was an out of country fraud, another  international form would ned to be filed, which I did asap. on XXXX XXXX. The bank accused me of using this site previously and the case was closed { it is an XXXX dating service, I am almost XXXX years old. ] I never did! the rep. XXXX was horrible to me! Although XXXX of the XXXX were reurned, they were giving me a horrible time. I then reached out to the branch fri.XXXX. spoke to the manager XXXX XXXX XXXX, she would return the money XXXX to my account. It was not, On the XXXX I rechecked and still not! as of today XXXX. it is still not been returned.   ",liu1417@purdue.edu,0
77,"on XXXX/XXXX/15 I set up bill pay to pay the account that I now have to pay by check I set up the following accounts XXXX XXXX per month, to be paid on the XXXX of each month, also XXXX XXXX for {$100.00} to be paid on the XXXX of every month, XXXX other payments for magazine subscriptions XXXX for {$49.00} to XXXX XXXX  XXXX to be paid XXXX on XXXX XXXX and XXXX to XXXX for {$18.00} to be paid XXXX on the XXXX of XXXX they paid XXXX  XXXX {$49.00} on the XXXX XXXX {$18.00} on the XXXX XXXX {$30.00} on the XXXX. then they also paid XXXX  XXXX another {$49.00} and XXXX Payments to XXXX XXXX XXXX for {$100.00} and XXXX for {$110.00} then on the XXXX they paid another {$18.00} to XXXX, another {$49.00} to XXXX XXXX  XXXX and another {$30.00} to XXXX they also paid {$24.00} to XXXX which I had set up auto pay on the XXXX of every month back in XXXX ( Remember this XXXX I paid XXXX and XXXX ) I realized what happened and called them on the XXXX and they said I must have hit he pay button XXXX, they could not do any thing about the XXXX XXXX Because it was electronically paid and could not be reversed but the would stop payment on on the XXXX to XXXX And XXXX The Payments To XXXX XXXX  XXXX because I no longer wanted that subscription. on the XXXX they returned the XXXX for {$18.00} to XXXX and XXXX XXXX for {$49.00} but paid XXXX {$25.00} I called them that day and they said they did n't understand what happened but they would reverse they XXXX to XXXX and the XXXX to XXXX XXXX  XXXX then on the XXXX my payment to XXXX XXXX XXXX XXXX for electricity came for {$130.00}. which I was short because I thought they had reversed the XXXX items on the XXXX but charged me an over draft fee of {$35.00} for the electric payment which would have had enough money in the account if they had reverser the XXXX items on the XXXX or XXXX I knew that i would not have enough money to last me till the XXXX of the month ( thanks to them ) so I went to XXXX And took out a pay day loan for XXXX now we come to the XXXX and my rent was due on the XXXX so to be able to have the money in the account that i would have to authorize them to sent a check to the mobile home park I live in on the XXXX in order for it to reach the park by the due date. Stupid of me I thought they would sent a check to the park and take the money out of my account when the check was cashed.But no they are kiting checks for bill pay customers they take the money out of our accounts and hold it till the check comes back to them.that 's not right times XXXX of bill pay customers and the are making a tidy sum of money by using our money for XXXX to 6 days.come to the XXXX and they take out the {$400.00} rent check which their was n't their so another {$35.00} overdraft fee of {$35.00} .now the I did go on line to bill pay and I hit the button to cancel the {$400.00} rent payment which they said could be canceled up until the time the check was cashed and for some unknown reason to me or XXXX XXXX XXXX their ebill came in on the XXXX instead of the the XXXX like it had been since XXXX I called XXXX and talked to a XXXX then electronically reversed and said she would sent them an Email stating that some how a mistake was made and the would resubmit the payment on the XXXX so as to keep me from having another overdraft fee.I went on line and their was {$26.00} dollars in checking account and they had put back the {$7.00} into my savings account. so my little Pension check For {$450.00} had been eaten up by overdraft fees and the rent check for {$400.00} so i went to XXXX the store and got cigarettes for {$4.00} and another {$7.00} for pet supplies at another store and on to the grocery store and figured I had about {$14.00} left in checking so purchased Items totaling XXXX and was embarrassed that my debit card was declined I had {$10.00} i paid that and put on my debit card {$1.00} which was accepted.I get home I got XXXX overdraft.   ",cthieme@purdue.edu,1
88,"I inquired specifically regarding the ability of the Citi Double Cash credit card, with regard to their ability to separate out charges for the multiple users of this card. I was told on XXXX ( XXXX ) separate occasions that this could be done. Upon receipt of my XXXX bill all of the charges were lumped together. I contacted their customer service and they said there was no way they could separate out the charges. This was totally misleading and I went through a long and arduous process to move our accounts over to this bank.   ",dean24@purdue.edu,1
96,"Wellsfargo is asking me to send sensitive documents over email. It is SSN card, nationality verification.   I would like to request an audit from Wells fargo on how it requests information from its consumers. I have the evidence on how it communicated with me. It is giving a way for its consumers to leak their information through email unsecurely. Innocent citizens may not know the issues with regards to this.   ",cthieme@purdue.edu,1
102,Capitalone 360 did not honor a check they say they would honor as a XXXX time couresty.   ,boyle20@purdue.edu,0
104,"My checking/debit card account is in overdraft and has been rolled over several times now. The XXXX overdraft for XXXX should not have occurred because the funds were put into my account @ XXXX on Fri., XX/XX/XXXX which covered it. The overdraft of {$13.00} occurred on the evening of the XX/XX/XXXX after banking hours @ our branch. The overdrafts continued to mount to {$130.00} by XX/XX/XXXX. After XXXX or XXXX heated conversations with the branch bank manager she took {$15.00} off for extended od fee reversal and {$19.00} off for extended overdraft on XX/XX/XXXX. This left overdraft expenses at {$100.00}. Their online customer service representative said they could do nothing more to correct the problem. However this account should never have gone into overdraft in the XXXX place. The tellers at the bank have told me that if an account is in overdraft during the week, the customer is giving until Friday of that week to correct the credit. But if not taken care of before Friday, a {$15.00} charge is attached. If not taken care of by the Monday of the following week a {$34.00} charge is attached. XXXX more {$34.00} is allowed and that is all. This was my understanding of the overdraft circumstances with Chase but it has not be the case with this situation or in other situations with Chase. My account started in XX/XX/XXXX so my history with them is not long in nature as accounts go. So going over all my statements and history should not be a problem. Also they stated that anything under {$5.00} is not given an overdraft but I believe there were charges on less than {$5.00} as well which I was unable to have removed. The result I expect from this is that my account be restored without overdrafts at all ; with a balance of {$22.00} in it instead of a negative amount of - {$100.00}.   ",mxuan@purdue.edu,1
106,"I was charged an overdraft fee of {$35.00} on XX/XX/2015. The payment that caused my account to be  overdrawn '' did not post to my account on XXXX/XXXX/2015, after a cash deposit cleared the account. My account never had a negative balance. When I called the bank, they refused to credit me the NSF fee stating that the payment was processing. I was only able to speak with the bank via chat session. I have a copy of the transcript of the chat session.   ",zhan1345@purdue.edu,0
107,"I disputed charges on my credit card since XXXX 2012 .The bank responded with a letter of investigation that I should exercise patience within XXXX days for the merchant to respond and I waited.. After XXXX days I contacted the bank about my disputes, to my surprise the bank said that the merchant had not respond back and sometimes it takes XXXX days. XXXX was never given a temporary credit as the law requires and till today .Before the XXXX days, I lodge a complaint with the bank again with their escalate department and I was told that the matter had been resolved in my favour and I should be expecting the refunds in my account soon within XXXX days.and they are only waiting for their manger to give the apprpval .I sent faxes, made calls and visit branches and they refused to credit my account.I was advised by the court to lodge complaint to your office XXXX before I sue them if the matter is settle.Please kindly use your good office to intervain maybe the matter could be settle.Thanks for your cooperation and assistance.   ",cthieme@purdue.edu,1
109,Opened a account at XXXX XXXX had fraud when disputed itThey said no problem opened me a new accountApparently they then decided new was opened to soonAnd they closed it without my knowledgeThey also applied for a credit card for me I did not authorizeOr ask forI then went to another bank to open a accountAnd was told XXXX report me to check systemFor suspected fraud? I 've been trying to get corrected for5 yrs now ca n't get a account anywhere!   ,jdenhar@purdue.edu,0
110,"I have a business checking account with Bank of America. My ATM cards magnetic strip apparently wore out, because XXXX ATM machines at the branch had trouble reading it. After repeated attempts at the XXXX ATM 's I was finally able to perform my transaction. I logged into my account to request another card, and it said a fee would be charged for cases like lost cards, which makes sense, but it did n't clearly say if a fee would be charged if a card wears out. I then went into the branch and told the representative that my card was n't working and I need a new XXXX, but was not willing to pay a fee. She then typed on the computer and told me a new card would be mailed, and said nothing about a fee. XXXX days later ( this morning ) I log into my account and see they charged {$5.00} for the new card. This is absolutely unacceptable to charge someone a fee without telling them, especially when they are standing in front of the employee telling them they are not willing to pay a fee. Obviously I 'm furious, because had she told me there would be a fee I would have said do n't order a new card. I 've had multiple problems with BOA and this will probably be the final straw that makes me close my account. I will be going back to the branch today to tell them I want the charge refunded, but no matter the outcome I am filing this complaint for their deceptive and unethical business practice.   ",dai77@purdue.edu,0
